country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,1749277,13181,107038,460476,1181763,18412,1096,0,0
Europe,1830975,15537,165754,812651,852570,10927,1180,0,0
South America,495545,7888,25676,178073,291796,10627,198,0,0
Asia,863596,22474,25849,499786,337961,4989,349,0,0
Africa,95996,2768,2992,39036,53968,287,68,0,0
Oceania,8686,11,121,7992,573,10,0,0,0
0,721,0,15,651,55,4,0,0,0
World,5044796,61859,327445,1998665,2718686,45256,2891,0,0
USA,1579387,8804,94167,364683,1120537,17249,634,12799877,330779957
Russia,308705,8764,2972,85392,220341,2300,135,7578029,145927463
Spain,279524,721,27888,196958,54678,1152,110,3037840,46752753
Brazil,275382,3497,18130,106794,150458,8318,147,735224,212385054
UK,248818,0,35704,0,0,1559,363,2962227,67845213
Italy,227364,665,32330,132282,62752,676,161,3171719,60471682
France,181575,766,28132,63354,90089,1794,110,1384633,65257220
Germany,178341,514,8227,156900,13214,1045,34,3595059,83753585
Turkey,152587,972,4222,113987,34378,877,23,1696355,84232553
Iran,126949,2346,7183,98808,20958,2735,64,731213,83865579
India,112012,5537,3434,45422,63156,0,132,2512388,1378418813
Peru,99483,0,2914,36524,60045,883,0,679582,32917154
Canada,80081,969,6027,40670,33384,502,115,1339971,37703672
Saudi Arabia,62545,2691,339,33478,28728,251,10,618084,34748812
Belgium,55983,192,9150,14847,31986,313,42,720228,11583877
Mexico,54346,2713,5666,37325,11355,378,334,185755,128773952
Chile,53617,4038,544,22504,30569,904,35,409669,19097135
Pakistan,45898,1932,985,13101,31812,111,46,414254,220368526
Netherlands,44447,198,5748,0,0,275,33,302395,17130596
Qatar,37097,1491,16,6600,30481,172,1,170437,2875180
Ecuador,34151,0,2839,3457,27855,221,0,98171,17610964
Belarus,32426,918,179,11415,20832,92,4,387673,9449669
Sweden,31523,724,3831,4971,22721,352,88,209900,10092027
Switzerland,30658,40,1892,27800,966,55,1,355393,8647311
Portugal,29660,228,1263,6452,21945,93,16,674000,10199983
Singapore,29364,570,22,11207,18135,11,0,294414,5845014
Bangladesh,26738,1617,386,5207,21145,1,16,203852,164497521
UAE,26004,941,233,11809,13962,1,6,1600923,9876291
Ireland,24315,64,1571,21060,1684,54,10,295626,4931300
Poland,19739,471,962,8183,10594,160,14,674861,37851214
Ukraine,19230,354,564,5955,12711,245,16,248529,43762271
Indonesia,19189,693,1242,4575,13372,0,21,211883,273184442
South Africa,18003,803,339,8950,8714,119,27,506861,59220176
Kuwait,17568,804,124,4885,12559,167,3,256314,4263020
Romania,17387,196,1147,10356,5884,198,10,332487,19251572
Colombia,16935,0,613,4050,12272,136,0,201808,50819268
Israel,16667,8,279,13504,2884,48,1,522632,8639287
Japan,16367,0,768,11564,4035,213,0,255675,126519062
Austria,16353,32,633,14882,838,37,1,379592,9000506
Egypt,14229,745,680,3994,9555,41,21,135000,102099285
Dominican Republic,13477,254,446,7142,5889,126,5,59976,10835186
Philippines,13221,279,842,2932,9447,81,5,244800,109407875
Denmark,11117,73,554,9536,1027,25,3,490782,5789887
S. Korea,11110,32,263,10066,781,15,0,776433,51264240
Serbia,10833,100,235,5067,5531,13,1,196881,8741226
Panama,9867,0,281,6194,3392,72,0,51815,4306610
Argentina,8809,0,394,2933,5482,154,1,112370,45147454
Czechia,8698,51,304,5818,2576,36,2,372341,10706744
Norway,8281,14,234,32,8015,17,1,223045,5416333
Afghanistan,8145,492,187,930,7028,19,9,25700,38819750
Bahrain,7888,356,12,3568,4308,9,0,255633,1693829
Algeria,7542,165,568,3968,3006,22,7,0,43754940
Morocco,7133,110,194,4098,2841,1,1,104915,36858953
Australia,7079,11,100,6444,535,9,0,1111567,25465024
Malaysia,7009,31,114,5706,1189,11,0,471318,32316866
Kazakhstan,6969,218,35,3649,3285,31,0,571547,18750200
Moldova,6553,213,228,2953,3372,251,7,40565,4034998
Finland,6443,44,304,5000,1139,20,3,156200,5539752
Nigeria,6401,0,192,1734,4475,7,0,36899,205500163
Ghana,6096,0,31,1773,4292,8,0,184343,30993199
Oman,6043,372,29,1661,4353,31,2,72000,5090324
Armenia,5271,230,67,2419,2785,10,3,44071,2962619
Bolivia,4481,218,189,533,3759,3,15,14803,11654083
Luxembourg,3971,13,109,3728,134,6,0,64018,624752
Iraq,3724,113,134,2438,1152,0,3,149701,40110732
Azerbaijan,3631,113,43,2253,1335,46,2,245609,10128537
Hungary,3598,42,470,1454,1674,29,3,142729,9663057
Cameroon,3529,0,140,1567,1822,28,0,0,26463124
Thailand,3034,1,56,2888,90,61,0,328073,69780195
Honduras,2955,157,147,349,2459,13,1,10775,9885675
Uzbekistan,2939,84,13,2372,554,6,0,460000,33411286
Guinea,2863,0,18,1525,1320,18,0,10304,13087736
Greece,2850,10,166,1374,1310,22,1,139445,10428608
Sudan,2728,0,111,286,2331,0,0,281,43721964
