country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,2350407,22687,139502,977895,1233010,19408,1563,0,0
South America,1231051,12023,53253,619026,558772,11931,408,0,0
Europe,2139591,14204,180941,1120736,837914,6899,757,0,0
Asia,1462152,37882,37078,889339,535735,15080,781,0,0
Africa,211215,5695,5685,96796,108734,499,117,0,0
Oceania,8887,9,124,8332,431,3,0,0,0
0,721,0,15,651,55,4,0,0,0
World,7404024,92500,416598,3712775,3274651,53824,3626,0,0
USA,2062075,16526,115010,798916,1148149,16842,862,22465318,330891117
Brazil,747561,5477,38701,380300,328560,8318,204,999836,212471616
Russia,493657,8404,6358,252783,234516,2300,216,13545303,145931041
UK,290143,1003,41128,0,0,516,245,6042622,67865632
Spain,289360,314,27136,0,0,617,0,4465338,46753788
India,287155,12375,8107,140979,138069,8944,388,5061332,1379196659
Italy,235763,202,34114,169939,31710,249,71,4381349,60466601
Peru,203736,0,5738,92929,105069,1077,0,1227691,32943514
Germany,186866,350,8844,170700,7322,492,13,4694147,83768916
Iran,177938,2011,8506,140590,28842,2639,81,1128601,83927262
Turkey,173036,922,4746,146839,21451,631,17,2451700,84284595
France,155136,545,29319,71832,53985,933,23,1384633,65265483
Chile,148496,5737,2475,95631,50390,1689,192,761090,19106539
Mexico,124301,4199,14649,90748,18904,378,596,357055,128851627
Pakistan,113702,5385,2255,36308,75139,111,83,754252,220615030
Saudi Arabia,112288,3717,819,77954,33515,1693,36,1019812,34779942
Canada,97060,407,7960,56602,32498,1864,63,1955719,37722638
Bangladesh,74865,3190,1012,15900,57953,1,37,441560,164591590
Qatar,73595,1716,66,49413,24116,226,4,269964,2807805
Belgium,59569,132,9629,16392,33548,102,10,969619,11586764
South Africa,55421,2430,1210,31505,22706,208,48,998400,59263077
Belarus,51066,801,288,25667,25111,92,6,659565,9449492
Netherlands,48087,184,6042,0,0,80,11,435587,17132765
Sweden,46814,198,4795,0,0,288,78,325000,10095634
Ecuador,43917,0,3690,21020,19207,219,0,128175,17626344
Colombia,42078,0,1372,16534,24172,335,0,432870,50850368
UAE,40507,603,284,24017,16206,1,1,2537000,9883146
Singapore,38965,451,25,26532,12408,3,0,488695,5847650
Egypt,38284,1455,1342,10289,26653,41,36,135000,102210197
Portugal,35600,294,1497,21742,12361,65,5,954069,10198284
Indonesia,34316,1240,1959,12129,20228,0,36,446918,273350295
Kuwait,33823,683,275,23288,10260,193,2,324373,4266645
Switzerland,31011,23,1936,28700,375,21,2,435458,8650937
Ukraine,28381,525,833,12769,14779,306,23,445940,43747275
Poland,27842,282,1206,13411,13225,160,23,1109909,37848845
Ireland,25231,16,1695,22698,838,34,4,367780,4934463
Argentina,24761,0,717,7991,16053,274,0,208519,45171227
Philippines,23732,740,1027,4895,17810,82,10,461962,109491568
Afghanistan,22142,683,405,3013,18724,19,21,50658,38870176
Romania,20945,196,1360,15103,4482,150,6,520564,19244249
Dominican Republic,20808,393,550,12318,7940,110,6,100035,10841423
Oman,18887,689,84,5640,13163,85,1,116722,5097800
Israel,18355,175,299,15168,2888,31,0,692745,9197590
Panama,17233,0,403,10561,6269,90,0,80720,4310510
Japan,17210,0,916,15213,1081,92,0,321053,126496945
Austria,17005,26,673,15910,422,17,1,506344,9003449
Bahrain,16200,469,31,11109,5060,12,2,386134,1697242
Iraq,15414,1146,426,6214,8774,88,34,330526,40162645
Bolivia,14644,695,487,2190,11967,3,12,39610,11663221
Armenia,14103,428,227,5226,8650,10,10,73156,2962936
Nigeria,13464,0,365,4206,8893,7,0,79948,205794199
Kazakhstan,13319,245,67,8345,4907,62,6,1023417,18763084
Serbia,12031,66,251,11348,432,14,1,287064,8739216
Denmark,12016,15,593,10904,519,17,0,739575,5791055
S. Korea,11902,50,276,10611,1015,15,2,1051972,51266763
Algeria,10484,102,732,7074,2678,33,8,0,43800432
Moldova,10321,296,371,5930,4020,308,6,63328,4034462
Ghana,10201,0,48,3755,6398,10,0,239395,31030490
Czechia,9787,36,330,7111,2346,11,2,478825,10707880
Cameroon,8681,369,212,4836,3633,28,0,0,26501153
Norway,8588,12,239,8138,211,2,0,267877,5418762
Azerbaijan,8530,339,102,4720,3708,66,4,356032,10133776
Morocco,8508,71,211,7565,732,15,1,356051,36884048
Malaysia,8338,2,118,7014,1206,5,1,618360,32340659
Guatemala,7866,364,289,1413,6164,5,22,31427,17894306
Australia,7276,9,102,6744,430,3,0,1679954,25481994
Finland,7040,15,324,5800,916,4,0,208300,5540244
Honduras,6935,485,271,787,5877,13,9,21540,9894721
Sudan,6427,0,389,2127,3911,0,0,401,43780863
Tajikistan,4763,73,48,2947,1768,0,0,0,9523438
Senegal,4640,124,52,2885,1703,18,0,55634,16713714
Uzbekistan,4623,103,19,3532,1072,9,1,748555,33439129
DRC,4390,131,96,565,3729,0,6,0,89368750
Djibouti,4373,42,34,2260,2079,0,0,38240,987109
Nepal,4364,278,15,674,3675,0,0,283624,29103332
Guinea,4258,0,23,2942,1293,24,0,14407,13108249
Luxembourg,4049,3,110,3904,35,2,0,88914,625337
Hungary,4027,10,551,2355,1121,20,1,217689,9661655
Ivory Coast,3995,0,38,2045,1912,0,0,32864,26334125
Haiti,3662,124,56,24,3582,0,2,7619,11394080
North Macedonia,3364,125,164,1664,1536,34,7,39033,2083379
Gabon,3294,47,21,956,2317,13,0,16730,2222218
El Salvador,3274,83,60,1438,1776,91,2,113656,6484338
Thailand,3125,4,58,2981,86,1,0,468175,69790217
Kenya,3094,105,89,1048,1957,7,1,102956,53693029
Greece,3068,10,183,1374,1511,12,0,240924,10425701
Bulgaria,2889,0,167,1623,1099,13,0,93512,6951096
Bosnia and Herzegovina,2775,47,161,2063,551,4,1,73379,3281866
Venezuela,2632,0,23,487,2122,1,0,1046118,28440212
Ethiopia,2506,170,35,401,2070,32,3,158521,114771105
Somalia,2452,36,85,506,1861,2,0,0,15862476
Croatia,2249,2,106,2130,13,0,0,69349,4106567
Mayotte,2226,51,28,1654,544,12,0,8800,272372
Cuba,2211,6,83,1886,242,1,0,124947,11326990
Kyrgyzstan,2093,38,26,1572,495,6,2,139610,6517406
Maldives,1962,20,8,1121,833,9,0,28940,539938
Estonia,1958,11,69,1690,199,0,0,92000,1326486
CAR,1888,38,5,38,1845,0,0,18161,4824430
Sri Lanka,1869,10,11,1122,736,1,0,80302,21408167
Iceland,1807,0,10,1794,3,0,0,62870,341115
Lithuania,1733,6,74,1369,290,17,2,345392,2724095
Mali,1667,81,96,948,623,0,2,3483,20210091
South Sudan,1604,0,19,15,1570,0,0,3356,11185781
Slovakia,1533,2,28,1404,101,0,0,191971,5459497
New Zealand,1504,0,22,1482,0,0,0,298532,5002100
Slovenia,1488,2,109,1359,20,0,0,86300,2078922
Nicaragua,1464,0,55,953,456,0,0,0,6619776
Costa Rica,1461,86,12,722,727,3,1,30372,5091366
Guinea-Bissau,1389,0,12,153,1224,5,0,1500,1964886
Lebanon,1388,20,30,832,526,8,0,99534,6827040
Albania,1341,42,34,980,327,6,0,17027,2877966
Equatorial Guinea,1306,0,12,200,1094,0,0,8268,1399659
Mauritania,1283,121,71,142,1070,11,10,7654,4641294
Paraguay,1202,15,11,619,572,2,0,40032,7127209
Zambia,1200,0,10,912,278,1,0,28236,18348224
Madagascar,1162,24,10,296,856,8,1,14525,27642529
Hong Kong,1108,0,4,1051,53,3,0,241992,7493415
Latvia,1092,3,26,794,272,4,0,121783,1887219
Tunisia,1087,0,49,983,55,1,0,55891,11811216
Sierra Leone,1062,37,50,637,375,0,0,0,7966414
Niger,974,0,65,871,38,0,0,6229,24141726
Cyprus,972,0,18,807,147,4,0,133337,1206847
Burkina Faso,891,0,53,765,73,0,0,0,20863682
French Guiana,865,92,2,457,406,6,0,277,298154
Jordan,863,18,9,663,191,5,0,240436,10197099
Andorra,852,0,51,759,42,7,0,3750,77258
Chad,846,2,72,706,68,0,1,0,16392970
Uruguay,846,0,23,754,69,4,0,49653,3473053
Georgia,827,9,13,690,124,6,0,67725,3989577
Congo,728,0,24,221,483,0,0,0,5508918
Diamond Princess,712,0,13,651,48,4,0,0,0
San Marino,691,3,42,496,153,1,0,5150,33927
Uganda,665,8,0,119,546,0,0,106583,45637829
Malta,635,3,9,597,29,0,0,77884,441477
Cabo Verde,615,30,5,294,316,0,0,1307,555624
Sao Tome and Principe,611,97,12,135,464,0,0,1095,218898
Jamaica,605,6,10,405,190,2,0,15013,2960434
Channel Islands,565,0,48,512,5,0,0,10255,173768
