country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1047089,12075,59412,145451,842226,16374,813,0
Europe,1274788,22291,121524,433185,720079,25304,1406,0
Asia,470774,10110,17164,227112,226498,6040,213,0
South America,132003,854,6036,48279,77688,9690,32,0
Oceania,8282,25,101,6749,1432,45,3,0
Africa,32054,952,1404,9844,20806,139,25,0
0,721,0,15,645,61,4,0,0
World,2965711,46307,205656,871265,1888790,57596,2492,0
USA,970757,10106,54941,118633,797183,15116,685,5353358
Spain,226629,2870,23190,117727,85712,7764,288,930230
Italy,197675,2324,26644,64928,106103,2009,260,1757659
France,161488,0,22614,44594,94280,4725,0,463662
Germany,157114,601,5884,109800,41430,2570,7,2072669
UK,152840,4463,20732,0,131764,1559,413,669850
Turkey,110130,2357,2805,29140,78185,1776,99,889742
Iran,90481,1153,5710,69657,15114,3079,60,421313
Russia,80949,6361,747,6767,73435,2300,66,2877699
Brazil,59479,283,4062,29160,26257,8318,17,291922
Belgium,46134,809,7094,10785,28255,891,177,189067
Canada,45791,437,2489,16916,26386,557,24,684271
Netherlands,37845,655,4475,0,33120,934,66,193950
Switzerland,29061,167,1607,21300,6154,204,8,245300
India,26917,634,826,5939,20152,0,1,625309
Peru,25331,0,700,7797,16834,545,0,218195
Portugal,23864,472,903,1329,21632,182,23,330512
Ecuador,22719,0,576,1366,20777,127,0,56513
Sweden,18640,463,2194,1005,15441,399,2,94500
Ireland,18561,0,1063,9233,8265,142,0,127319
Saudi Arabia,17522,1223,139,2357,15026,115,3,200000
Israel,15398,100,199,6602,8597,132,0,302691
Austria,15225,77,542,12282,2401,145,6,227631
Mexico,13842,970,1305,7149,5388,378,84,65500
Singapore,13624,931,12,1060,12552,22,0,121774
Chile,13331,473,189,7024,6118,418,8,155975
Japan,13231,0,360,1656,11215,287,0,147454
Pakistan,13201,478,272,2936,9993,111,3,144365
Poland,11617,344,535,2265,8817,160,11,290633
Romania,11036,401,619,3054,7363,236,18,136518
S. Korea,10728,10,242,8717,1769,55,2,598285
Belarus,10463,873,72,1695,8696,92,5,147525
UAE,10349,536,76,1978,8295,1,5,1022326
Qatar,10287,929,10,1012,9265,72,0,82289
Indonesia,8882,275,743,1107,7032,0,23,72099
Ukraine,8617,492,209,840,7568,107,8,89373
Denmark,8575,130,422,5805,2348,70,4,146915
Serbia,8042,263,156,1182,6704,85,5,64303
Philippines,7579,285,501,862,6216,1,7,84789
Norway,7499,6,201,32,7266,50,0,155125
Czechia,7387,35,220,2545,4622,79,2,215116
Australia,6711,16,83,5539,1089,42,3,506449
Dominican Republic,6135,209,278,910,4947,144,5,22498
Malaysia,5780,38,98,3862,1820,36,0,131491
Panama,5538,200,159,338,5041,85,5,25400
Bangladesh,5416,418,145,122,5149,1,5,46589
Colombia,5142,0,233,1067,3842,117,0,78078
Finland,4576,101,190,2500,1886,62,4,80300
South Africa,4361,0,86,1473,2802,36,0,161004
Egypt,4319,0,307,1114,2898,0,0,90000
Morocco,4065,168,161,593,3311,1,2,26472
Argentina,3780,0,187,1107,2486,144,2,49905
Luxembourg,3723,12,88,3104,531,22,3,39003
Moldova,3408,104,96,895,2417,212,2,11763
Algeria,3382,126,425,1508,1449,40,6,6500
Kuwait,3075,183,20,806,2249,61,1,0
Thailand,2922,15,51,2594,277,61,0,142589
Kazakhstan,2693,92,25,677,1991,31,0,196298
Bahrain,2633,45,8,1160,1465,2,0,113436
Greece,2517,11,134,577,1806,46,4,64608
Hungary,2500,57,272,485,1743,61,10,63505
Croatia,2030,14,55,1103,872,23,1,31622
Oman,1998,93,10,333,1655,3,0,0
Uzbekistan,1869,7,8,789,1072,8,0,242536
Iceland,1792,2,10,1608,174,3,0,46352
Iraq,1763,0,86,1224,453,0,0,68224
Armenia,1746,69,28,833,885,10,0,17931
Azerbaijan,1645,28,21,1139,485,15,0,120479
Estonia,1643,8,49,233,1361,6,3,47933
Cameroon,1621,103,56,786,779,12,3,0
Ghana,1550,271,11,155,1384,4,1,100622
Afghanistan,1531,68,50,207,1274,7,3,8090
Bosnia and Herzegovina,1516,30,59,624,833,4,2,25830
New Zealand,1470,9,18,1142,310,1,0,120981
Lithuania,1438,12,41,467,930,17,0,104488
Slovenia,1396,8,82,221,1093,23,1,48973
North Macedonia,1386,19,61,500,825,13,2,15120
Slovakia,1379,6,18,394,967,5,1,70928
Cuba,1369,32,54,501,814,11,3,39828
Bulgaria,1300,53,56,205,1039,41,1,27000
Nigeria,1182,0,35,222,925,2,0,10061
Ivory Coast,1111,34,14,449,648,0,0,0
Hong Kong,1038,0,4,753,281,4,0,145640
Djibouti,1023,15,2,411,610,0,0,11741
Guinea,996,0,7,208,781,0,0,0
Tunisia,939,0,38,207,694,19,0,20408
Bolivia,866,59,46,54,766,3,2,4995
Cyprus,817,7,14,148,655,15,0,43542
Latvia,812,8,12,267,533,6,0,47671
Andorra,738,0,40,344,354,17,0,1673
Albania,726,14,28,410,288,4,1,7279
Diamond Princess,712,0,13,645,54,4,0,0
Lebanon,707,3,24,145,538,44,0,27827
Costa Rica,693,0,6,242,445,7,0,12467
Niger,684,0,27,325,332,0,0,5013
Kyrgyzstan,682,17,8,370,304,13,0,45627
Senegal,671,57,8,283,380,1,1,466
Burkina Faso,629,0,41,442,146,0,0,0
Honduras,627,36,59,65,503,10,4,3457
Uruguay,596,33,14,370,212,9,2,16496
San Marino,538,25,41,64,433,4,1,2074
Channel Islands,525,0,35,332,158,0,0,5342
Sri Lanka,505,53,7,120,378,2,0,13850
Georgia,485,29,6,139,340,6,1,9699
Guatemala,473,43,13,45,415,5,2,7200
Malta,448,0,4,282,162,2,0,27981
Jordan,447,3,7,337,103,5,0,63737
DRC,442,26,28,50,364,0,0,0
Somalia,436,46,23,10,403,2,5,0
Taiwan,429,0,6,281,142,0,0,60459
Réunion,417,0,0,300,117,2,0,0
Mayotte,401,21,4,144,253,4,0,2500
Mali,370,0,21,91,258,0,0,2172
Kenya,355,12,14,106,235,2,0,17492
Palestine,342,0,2,83,257,0,0,27000
Mauritius,332,1,9,299,24,3,0,14445
Venezuela,323,0,10,132,181,3,0,423592
Montenegro,321,1,7,153,161,7,1,5085
Isle of Man,308,0,18,247,43,22,0,2854
Jamaica,305,17,7,28,270,0,0,2868
Tanzania,299,0,10,48,241,7,0,0
El Salvador,298,24,8,83,207,4,0,18686
Vietnam,270,0,0,225,45,8,0,212965
Equatorial Guinea,258,0,1,8,249,0,0,854
Sudan,237,24,21,20,196,0,4,0
Paraguay,228,5,9,85,134,1,0,7322
Congo,200,0,6,19,175,0,0,0
Maldives,191,14,0,17,174,2,0,5296
Faeroe Islands,187,0,0,178,9,0,0,6588
Rwanda,183,0,0,88,95,0,0,6959
Gabon,176,0,3,30,143,1,0,572
Martinique,175,0,14,77,84,7,0,0
Guadeloupe,149,0,12,82,55,11,0,0
Myanmar,146,2,5,10,131,0,0,6531
Brunei,138,0,1,123,14,2,0,12981
