country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1775482,12681,108679,469617,1197186,19295,862,0
Europe,1847300,16633,166629,825491,855180,10803,831,0
South America,523205,3117,26890,193864,302451,10600,265,0
Asia,883500,20042,26148,512349,345003,4883,295,0
Africa,99513,2523,3062,39915,56536,288,52,0
Oceania,8688,2,121,8025,542,10,0,0
0,721,0,15,651,55,4,0,0
World,5138409,54998,331544,2049912,2756953,45883,2305,0
USA,1602132,9409,95332,371534,1135266,18149,396,13184207
Russia,317554,8849,3099,92681,221774,2300,127,7840880
Brazil,296033,2676,19148,116683,160202,8318,254,735224
Spain,279524,0,27888,196958,54678,1152,0,3037840
UK,250908,2615,36042,0,0,1559,338,3090566
Italy,228006,642,32486,134560,60960,640,156,3243398
France,181575,0,28132,63354,90089,1794,0,1384633
Germany,178864,333,8273,158000,12591,1016,3,3595059
Turkey,153548,961,4249,114990,34309,820,27,1729988
Iran,129341,2392,7249,100564,21528,2655,66,746045
India,115572,3544,3502,46873,65197,0,68,2615920
Peru,104020,0,3024,41968,59028,869,0,715423
Canada,80556,414,6063,41098,33395,502,32,1375126
Saudi Arabia,65077,2532,351,36040,28686,281,12,651158
Mexico,56594,2248,6090,38876,11628,378,424,185755
Belgium,56235,252,9186,14988,32061,277,36,739146
Chile,53617,0,544,22504,30569,904,0,409669
Pakistan,48091,2193,1017,14155,32919,111,32,429600
Netherlands,44700,253,5775,0,0,255,27,302395
Qatar,38651,1554,17,7288,31346,171,1,175482
Ecuador,34854,0,2888,3557,28409,191,0,100248
Belarus,33371,945,185,12057,21129,92,6,403236
Sweden,32172,649,3871,4971,23330,352,40,209900
Switzerland,30694,36,1893,27800,1001,55,1,361692
Portugal,29912,252,1277,6452,22183,93,14,674000
Singapore,29812,448,23,12117,17672,10,1,294414
Bangladesh,28511,1773,408,5602,22501,1,22,214114
UAE,26004,0,233,11809,13962,1,0,1600923
Ireland,24391,76,1583,21060,1748,54,12,295626
Indonesia,20162,973,1278,4838,14046,0,36,219975
Poland,20143,404,972,8452,10719,160,10,697230
Ukraine,19706,476,579,6227,12900,249,15,257890
South Africa,19137,1134,369,8950,9818,119,30,525433
Kuwait,18609,1041,129,5205,13275,181,5,261071
Colombia,17687,0,630,4256,12801,136,0,214536
Romania,17585,198,1156,10581,5848,203,9,342466
Israel,16670,3,279,13617,2774,47,0,524584
Austria,16404,51,633,14951,820,32,0,385637
Japan,16385,0,771,12286,3328,210,0,258277
Egypt,14229,0,680,3994,9555,41,0,135000
Dominican Republic,13657,180,448,7366,5843,113,2,61330
Philippines,13434,213,846,3000,9588,81,4,267417
Denmark,11182,65,561,9643,978,23,7,504266
S. Korea,11122,12,264,10135,723,15,1,788684
Serbia,10919,86,237,5370,5312,12,2,203799
Panama,9977,0,287,6194,3496,72,0,52641
Argentina,9283,0,404,3032,5847,171,1,116689
Czechia,8743,22,306,5922,2515,36,2,379750
Afghanistan,8676,531,193,938,7545,19,6,26707
Norway,8301,20,235,32,8034,17,1,223045
Bahrain,8039,151,12,3715,4312,9,0,260897
Algeria,7728,186,575,4062,3091,22,7,0
Kazakhstan,7234,265,35,3777,3422,31,0,591502
Morocco,7211,78,196,4280,2735,1,2,111890
Australia,7081,2,100,6472,509,9,0,1137684
Malaysia,7059,50,114,5796,1149,10,0,481411
Moldova,6704,151,233,2953,3518,251,5,40565
Nigeria,6677,0,200,1840,4637,7,0,38231
Finland,6493,50,306,4800,1387,22,2,160177
Oman,6370,327,30,1821,4519,31,0,72000
Ghana,6269,0,31,1898,4340,8,0,187929
Armenia,5606,335,70,2581,2955,10,3,45822
Bolivia,4919,438,199,553,4167,3,10,14803
Luxembourg,3980,9,109,3741,130,6,0,64981
Iraq,3877,153,140,2483,1254,0,6,149701
Azerbaijan,3749,118,44,2340,1365,42,1,252496
Cameroon,3733,0,146,1595,1992,28,0,0
Hungary,3641,43,473,1509,1659,27,3,147511
Sudan,3138,410,121,309,2708,0,10,281
Honduras,3100,145,151,355,2594,13,4,11315
Thailand,3037,3,56,2897,84,61,0,328073
Uzbekistan,2964,25,13,2407,544,5,0,460000
Guinea,2863,0,18,1525,1320,18,0,10304
Greece,2853,3,168,1374,1311,21,2,144078
Senegal,2812,98,30,1251,1531,6,0,24599
Bosnia and Herzegovina,2350,12,140,1596,614,4,4,56997
Tajikistan,2350,210,44,470,1836,0,3,0
Bulgaria,2331,39,120,727,1484,31,4,70755
Guatemala,2265,132,45,159,2061,5,2,20820
Croatia,2237,3,97,1978,162,9,1,58091
