country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1394167,18266,84040,266699,1043428,16877,1613,0
Europe,1552510,27606,148222,609359,794929,15591,1591,0
Asia,616301,13236,21129,337350,257822,5201,323,0
South America,255172,3561,12891,88912,153369,9981,66,0
Africa,53952,1239,2052,18791,33109,170,37,0
Oceania,8489,22,118,7467,904,26,0,0
0,721,0,15,645,61,4,0,0
World,3881312,63930,268467,1329223,2283622,47850,3630,0
USA,1277606,14514,76011,214276,987319,15705,1212,8125431
Spain,256855,3173,26070,163919,66866,2075,213,1932455
Italy,215858,1401,29958,96276,89624,1311,274,2381288
UK,206715,5614,30615,0,175756,1559,539,1448010
Russia,177160,11231,1625,23803,151732,2300,88,4803192
France,174191,0,25809,53972,94410,3147,0,1100228
Germany,168912,750,7336,139900,21676,1823,61,2755770
Turkey,133721,1977,3641,82984,47096,1260,57,1265119
Brazil,127655,1044,8609,51370,67676,8318,21,339552
Iran,103135,1485,6486,82744,13905,2728,68,544702
Canada,64817,1321,4404,28954,31459,502,172,973558
Peru,54817,0,1533,17527,35757,717,0,429458
India,54539,1552,1837,16048,36654,0,52,1357413
Belgium,51420,639,8415,12980,30025,538,76,493325
Netherlands,41774,455,5288,0,36236,584,84,249655
Saudi Arabia,33731,1793,219,7798,25714,145,10,405685
Ecuador,30298,878,1654,3433,25211,156,36,83218
Switzerland,30126,66,1810,25700,2616,121,5,290365
Mexico,27634,1609,2704,17781,7149,378,197,105664
Portugal,26715,533,1105,2258,23352,135,16,485925
Pakistan,24644,1430,585,6464,17595,111,41,244778
Sweden,24623,705,3040,4074,17509,425,99,148500
Chile,24581,1533,285,11664,12632,493,4,244226
Ireland,22385,137,1403,17110,3872,93,28,214761
Singapore,20939,741,20,1712,19207,19,0,175604
Belarus,20168,913,116,5067,14985,92,4,229466
Qatar,18890,918,12,2286,16592,72,0,116495
Israel,16346,36,239,10737,5370,83,0,432453
UAE,16240,502,165,3572,12503,1,8,1200000
Austria,15752,68,609,13698,1445,92,1,292254
Japan,15253,0,556,4496,10201,308,0,186343
Poland,15047,307,755,4862,9430,160,22,425994
Romania,14499,392,886,6144,7469,234,22,226613
Ukraine,13691,507,340,2396,10955,178,13,151569
Indonesia,12776,338,930,2381,9465,0,35,134151
Bangladesh,12425,706,199,1910,10316,1,13,105513
S. Korea,10810,4,256,9419,1135,55,1,649388
Philippines,10343,339,685,1618,8040,31,27,144583
Denmark,10083,145,514,7711,1858,43,8,284480
Serbia,9848,57,206,2160,7482,46,3,122995
Dominican Republic,9095,288,373,2064,6658,133,11,36959
Colombia,8959,0,397,2148,6414,123,0,131110
Czechia,8002,28,269,4369,3364,52,7,286821
Norway,7996,0,216,32,7748,27,0,191946
Egypt,7981,393,482,1887,5612,41,13,90000
South Africa,7808,0,153,3153,4502,36,0,279379
Panama,7731,208,218,859,6654,88,8,38014
Australia,6896,21,97,6040,759,23,0,722549
Kuwait,6567,278,44,2381,4142,91,2,196397
Malaysia,6467,39,107,4776,1584,19,0,231019
Finland,5673,100,255,3500,1918,44,3,112100
Morocco,5548,140,183,2179,3186,1,0,56492
Argentina,5208,0,273,1601,3334,148,0,72315
Algeria,5182,185,483,2323,2376,22,7,6500
Moldova,4605,129,145,1747,2713,237,2,20447
Kazakhstan,4578,156,30,1518,3030,31,0,353843
Bahrain,4131,197,8,1998,2125,4,0,164517
Luxembourg,3859,8,100,3505,254,21,2,51883
Afghanistan,3563,171,106,468,2989,7,2,14389
Hungary,3150,39,383,801,1966,50,10,94036
Nigeria,3145,0,103,534,2508,4,0,22492
Ghana,3091,0,18,303,2770,4,0,135902
Thailand,2992,3,55,2772,165,61,0,227860
Oman,2958,55,14,980,1964,17,1,50000
Armenia,2884,102,42,1185,1657,10,2,28017
Greece,2678,15,148,1374,1156,33,1,90043
Iraq,2543,63,102,1626,815,0,0,120604
Uzbekistan,2269,36,10,1656,603,8,0,325000
Cameroon,2267,2,108,1002,1157,12,0,0
Azerbaijan,2204,77,28,1551,625,18,0,175910
Croatia,2125,6,86,1641,398,14,1,41938
Bosnia and Herzegovina,2027,40,90,954,983,4,4,38187
Bolivia,1886,84,91,198,1597,3,5,7651
Guinea,1856,0,11,597,1248,0,0,0
Bulgaria,1829,51,84,384,1361,43,0,52931
Iceland,1799,0,10,1750,39,0,0,51663
Cuba,1729,26,73,1031,625,8,4,61613
Estonia,1720,7,56,273,1391,4,1,60530
North Macedonia,1572,33,89,1079,404,21,1,18168
Ivory Coast,1516,0,18,721,777,0,0,11448
Senegal,1492,59,13,562,917,6,1,18969
New Zealand,1489,1,21,1332,136,2,0,168023
Honduras,1461,191,99,132,1230,10,6,5653
Slovenia,1449,1,99,247,1103,13,0,59978
Slovakia,1445,16,26,806,613,4,1,109767
Lithuania,1433,5,49,739,645,17,1,164088
Djibouti,1124,0,3,755,366,0,0,14538
Hong Kong,1045,4,4,944,97,1,0,154989
Tunisia,1025,0,43,591,391,18,0,25555
Sudan,930,78,52,92,786,0,3,0
Somalia,928,55,44,106,778,2,5,0
Latvia,909,9,18,464,427,3,1,71069
Kyrgyzstan,895,24,12,637,246,13,0,59490
Cyprus,889,6,15,400,474,15,0,70811
DRC,863,66,36,103,724,0,1,0
Albania,842,10,31,605,206,7,0,9806
Sri Lanka,805,8,9,232,564,1,0,30525
Guatemala,798,35,21,86,691,5,2,7200
Lebanon,784,34,25,220,539,43,0,46677
Niger,770,0,38,561,171,0,0,5409
Costa Rica,761,0,6,428,327,5,0,14448
Andorra,751,0,46,521,184,15,0,1673
Mayotte,739,0,9,352,378,6,0,3400
Burkina Faso,729,0,48,555,126,0,0,0
Diamond Princess,712,0,13,645,54,4,0,0
El Salvador,695,62,15,245,435,4,0,35411
Uruguay,673,0,17,486,170,10,0,24656
Maldives,642,25,2,20,620,2,0,9863
Mali,631,0,32,261,338,0,0,2172
San Marino,622,14,41,106,475,4,0,2777
Georgia,615,5,9,275,331,6,0,24036
Kenya,607,25,29,197,381,1,3,25861
Channel Islands,545,0,40,429,76,0,0,5342
Malta,486,2,5,413,68,0,0,39366
Jordan,484,11,9,381,94,5,0,101734
Tanzania,480,0,16,167,297,7,0,0
Jamaica,478,5,9,57,412,0,0,6095
Guinea-Bissau,475,0,2,24,449,0,0,1500
Paraguay,462,22,10,148,304,9,0,11913
Tajikistan,461,82,12,0,449,0,4,0
Taiwan,440,1,6,347,87,0,0,66046
Gabon,439,42,8,99,332,1,2,724
Equatorial Guinea,439,0,4,13,422,0,0,854
Réunion,425,0,0,300,125,2,0,17200
Venezuela,379,0,10,176,193,1,0,490851
Palestine,374,0,2,174,198,0,0,34511
Mauritius,332,0,10,320,2,3,0,55494
Isle of Man,327,0,23,271,33,19,0,3459
Montenegro,324,0,8,265,51,2,0,7816
Vietnam,288,17,0,233,55,8,0,261004
Rwanda,268,0,0,130,138,0,0,37315
Congo,264,0,10,30,224,0,0,0
Sierra Leone,231,6,16,54,161,0,2,0
Cabo Verde,218,27,2,38,178,0,0,791
Madagascar,193,35,0,101,92,1,0,3968
Ethiopia,191,29,4,93,94,1,0,28445
Faeroe Islands,187,0,0,185,2,0,0,8317
Martinique,182,0,14,83,85,5,0,0
Liberia,178,0,20,75,83,0,0,0
Myanmar,176,15,6,62,108,0,0,10042
Sao Tome and Principe,174,0,3,4,167,0,0,175
Chad,170,0,17,43,110,0,0,0
Zambia,153,7,4,103,46,1,0,10270
Eswatini,153,30,2,12,139,0,0,714
Guadeloupe,152,0,13,104,35,4,0,0
Gibraltar,144,0,0,136,8,0,0,3252
Brunei,141,2,1,131,9,2,0,14938
Benin,140,44,2,53,85,0,0,0
French Guiana,138,0,1,112,25,0,0,0
Togo,128,0,9,77,42,0,0,8835
Cambodia,122,0,0,120,2,1,0,12929
Bermuda,118,0,7,59,52,4,0,3569
Trinidad and Tobago,116,0,8,103,5,0,0,2154
Haiti,108,7,12,15,81,0,0,1091
Aruba,101,0,3,89,9,4,1,1817
Nepal,101,2,0,22,79,0,0,67066
Uganda,100,0,0,55,45,0,0,47620
Monaco,95,0,4,82,9,1,0,0
CAR,94,0,0,10,84,0,0,3498
Guyana,93,0,10,27,56,3,0,714
Bahamas,92,0,11,26,55,1,0,1500
Barbados,82,0,7,53,22,4,0,2699
Liechtenstein,82,0,1,55,26,0,0,900
Mozambique,81,0,0,24,57,0,0,3188
Cayman Islands,78,0,1,30,47,3,0,3050
Sint Maarten,76,0,14,44,18,7,0,329
South Sudan,74,16,0,0,74,0,0,1247
Libya,64,0,3,24,37,0,0,2338
French Polynesia,60,0,0,55,5,1,0,2756
Syria,45,0,3,27,15,0,0,0
Macao,45,0,0,40,5,1,0,0
Malawi,43,0,3,9,31,1,0,961
Mongolia,41,0,0,13,28,0,0,9093
Eritrea,39,0,0,30,9,0,0,0
Saint Martin,38,0,3,29,6,1,0,0
Angola,36,0,2,11,23,0,0,3000
Zimbabwe,34,0,4,5,25,0,0,7642
Yemen,25,0,5,1,19,0,0,120
Antigua and Barbuda,25,0,3,16,6,1,0,153
Timor-Leste,24,0,0,20,4,0,0,664
Botswana,23,0,1,9,13,0,0,9066
Grenada,21,0,0,13,8,4,0,1406
Laos,19,0,0,9,10,0,0,2604
Belize,18,0,2,16,0,0,0,1043
Fiji,18,0,0,14,4,0,0,1300
New Caledonia,18,0,0,18,0,0,0,5213
Saint Lucia,18,0,0,15,3,0,0,446
Gambia,17,0,1,9,7,0,0,562
St. Vincent Grenadines,17,0,0,9,8,0,0,137
Nicaragua,16,0,5,7,4,0,0,0
Curaçao,16,0,1,13,2,0,0,374
Dominica,16,0,0,14,2,0,0,416
Namibia,16,0,0,9,7,0,0,1283
Burundi,15,0,1,7,7,0,0,284
Saint Kitts and Nevis,15,0,0,12,3,0,0,318
Falkland Islands,13,0,0,13,0,0,0,388
Turks and Caicos,12,0,1,6,5,0,0,107
Vatican City,12,0,0,2,10,0,0,0
Montserrat,11,0,1,7,3,1,0,36
Greenland,11,0,0,11,0,0,0,1394
Seychelles,11,0,0,8,3,0,0,0
Suriname,10,0,1,9,0,0,0,404
MS Zaandam,9,0,2,0,7,0,0,0
Comoros,8,0,1,0,7,0,0,0
Mauritania,8,0,1,6,1,0,0,1842
Papua New Guinea,8,0,0,8,0,0,0,2402
British Virgin Islands,7,0,1,3,3,0,0,132
Bhutan,7,0,0,5,2,0,0,11492
Caribbean Netherlands,6,0,0,0,6,0,0,110
St. Barth,6,0,0,6,0,0,0,0
Western Sahara,6,0,0,5,1,0,0,0
Anguilla,3,0,0,3,0,0,0,0
Saint Pierre Miquelon,1,0,0,0,1,0,0,0
China,82885,2,4633,77957,295,23,0,0
