country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,10600592,30543,343415,7043982,3213195,20066,600,0,0
Asia,13145622,74939,234218,11583259,1328145,21131,1103,0,0
South America,9331503,3728,287169,8281266,763068,18020,82,0,0
Europe,8333136,138814,250229,3454609,4628298,16215,1116,0,0
Africa,1721624,2812,41221,1406396,274007,2057,13,0,0
Oceania,35893,15,959,31250,3684,17,0,0,0
0,721,0,15,659,47,4,0,0,0
World,43169091,250851,1157226,31801421,10210444,77510,2914,0,0
USA,8848902,20970,230200,5744831,2873871,16363,132,132549624,331616304
India,7901262,37370,118892,7123707,658663,8944,325,102523469,1384271181
Brazil,5381224,0,156926,4817898,406400,8318,0,21900000,213036330
Russia,1513877,16710,26050,1138522,349305,2300,229,57300000,145954385
Spain,1110372,0,34752,0,0,2031,0,15503165,46760544
France,1086497,0,34645,109486,942366,2441,0,14637427,65319392
Argentina,1081336,0,28613,881113,171610,4850,0,2804114,45326314
Colombia,1007711,0,30000,907379,70332,2365,0,4718734,51053257
Mexico,886800,6025,88743,646739,151318,2781,431,2288589,129358368
Peru,886214,0,34095,803846,48273,1044,0,4367969,33115484
UK,873800,19790,44896,0,0,743,151,31157988,67998844
South Africa,714246,0,18944,644641,50661,546,0,4677942,59542957
Iran,568896,6191,32616,455054,81226,4969,296,4719597,84329667
Italy,525782,21273,37338,266203,222241,1208,128,14654002,60433453
Chile,502063,1540,13944,478252,9867,723,52,4119551,19167892
Iraq,451707,2554,10623,381349,59735,400,55,2756365,40501318
Germany,433257,5449,10130,317000,106127,1203,19,20380376,83868935
Bangladesh,398815,1308,5803,315107,77905,0,23,2257589,165205282
Indonesia,389712,3732,13299,313764,62649,0,94,4327144,274432288
Philippines,370028,2223,6977,328036,35015,1562,43,4550712,110037564
Turkey,361801,2017,9799,314390,37612,1744,72,13217888,84624109
Saudi Arabia,344875,323,5296,331330,8249,788,15,7670348,34983025
Ukraine,343498,6088,6391,141508,195599,177,102,2991893,43649444
Pakistan,327895,832,6736,310491,10668,562,9,4264053,222223177
Israel,309413,0,2372,291206,15835,548,0,4401559,9197590
Belgium,305409,17709,10737,22878,271794,708,79,4525669,11605601
Netherlands,291254,10202,7046,0,0,512,27,2901903,17146915
Czechia,255373,4576,2167,97282,155924,800,90,2058256,10715295
Poland,253688,11742,4438,112619,136631,947,87,4330602,37833389
Canada,215880,1921,9940,181381,24559,215,18,9552469,37846371
Romania,209648,3855,6391,149741,53516,828,73,3055989,19196475
Morocco,194461,0,3255,160372,30834,699,0,3176249,37047765
Ecuador,161635,2021,12553,141759,7323,365,11,521891,17726685
Nepal,158089,2856,847,111670,45572,0,5,1393173,29299748
Bolivia,140779,167,8627,108067,24085,71,19,326973,11722834
Qatar,131170,205,230,128099,2841,33,1,934283,2807805
Panama,128515,0,2628,104562,21325,128,0,621118,4335953
UAE,125123,1359,477,118931,5715,0,2,12465687,9927866
Dominican Republic,124527,509,2223,102651,19653,178,3,567976,10882111
Kuwait,121635,708,746,112771,8118,121,2,876250,4290297
Portugal,118686,2577,2316,68877,47493,230,19,3156991,10187204
Oman,112932,1095,1174,99278,12480,193,27,376700,5146569
Sweden,110594,0,5933,0,0,39,0,2074744,10119165
Kazakhstan,110402,152,1796,105618,2988,221,0,3309626,18847133
Egypt,106397,0,6187,98813,1397,41,0,135000,102933765
Guatemala,104632,0,3609,93880,7143,5,0,409066,18018534
Switzerland,103653,0,2083,55800,45770,123,2,1726438,8674594
Costa Rica,103088,0,1282,62037,39769,201,0,296363,5108761
Japan,96534,699,1711,89282,5541,159,5,2573495,126352656
Ethiopia,92858,0,1419,46842,44597,306,0,1437497,115840251
Belarus,92823,845,957,83237,8629,0,4,2372445,9448332
Honduras,92724,842,2617,37866,52241,25,5,220422,9953732
Venezuela,89142,0,770,83443,4929,117,0,2022949,28410184
Austria,80811,2782,979,57858,21974,174,14,2088359,9022648
Bahrain,79975,0,312,76474,3189,29,0,1678847,1719508
Armenia,77837,2314,1180,50908,25749,0,23,377340,2965003
Moldova,71503,414,1685,52290,17528,824,16,343554,4030968
Lebanon,69906,0,562,33438,35906,244,0,1139812,6815654
Uzbekistan,65200,277,547,62342,2311,252,3,1377915,33620768
Nigeria,61930,0,1129,57285,3516,7,0,603611,207712437
Hungary,59247,3149,1425,16242,41580,221,35,980373,9652512
Paraguay,59043,0,1293,39214,18536,136,0,345336,7159999
Singapore,57970,5,28,57858,84,0,0,3486260,5864850
Ireland,56108,0,1882,23364,30862,38,0,1538215,4955100
Libya,56013,1639,795,30731,24487,0,5,297762,6900524
Algeria,55880,0,1907,38932,15041,33,0,0,44097217
Kyrgyzstan,55750,606,1134,47616,7000,24,4,392223,6557733
Jordan,53087,2337,579,7508,45000,55,39,1710076,10234984
Palestine,50442,453,448,43592,6402,0,5,497115,5138005
