country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths
North America,1000811,4474,56513,135534,808764,16346,318
Europe,1246120,20806,119134,402813,724173,26114,1810
Asia,454848,6632,16766,215575,222507,6018,163
South America,121322,1156,5576,45627,70119,9641,38
Oceania,8257,25,98,6558,1601,46,2
Africa,30254,414,1347,9251,19656,156,19
0,721,0,15,645,61,4,0
World,2862333,33507,199449,816003,1846881,58325,2350
USA,928176,2944,52341,110490,765345,15097,148
Spain,223759,3995,22902,95708,105149,7705,378
Italy,192994,0,25969,60498,106527,2173,0
France,159828,0,22245,43493,94090,4870,0
Germany,155054,55,5788,109800,39466,2908,28
UK,148377,4913,20319,0,127714,1559,813
Turkey,104912,0,2600,21737,80575,1790,0
Iran,89328,1134,5650,68193,15485,3096,76
Russia,74588,5966,681,6250,67657,2300,66
Brazil,54043,1048,3704,27655,22684,8318,34
Belgium,45325,1032,6917,10417,27991,934,238
Canada,43888,0,2302,15469,26117,557,0
Netherlands,37190,655,4409,0,32531,963,120
Switzerland,28894,217,1593,21000,6301,204,4
India,24942,495,780,5498,18664,0,0
Portugal,23392,595,880,1277,21235,186,26
Ecuador,22719,0,576,1366,20777,127,0
Peru,21648,0,634,7496,13518,505,0
Ireland,18184,0,1014,9233,7937,142,0
Sweden,18177,610,2192,1005,14980,547,40
Saudi Arabia,16299,1197,136,2215,13948,93,9
Austria,15148,77,536,12103,2509,148,6
Israel,15148,90,198,6159,8791,130,4
Mexico,12872,1239,1221,7149,4502,378,152
Japan,12829,117,345,1530,10954,263,0
Singapore,12693,618,12,956,11725,24,0
Chile,12306,0,174,6327,5805,408,0
Pakistan,12227,287,256,2755,9216,111,3
Poland,11067,175,499,2126,8442,160,5
S. Korea,10718,10,240,8635,1843,55,0
Romania,10635,218,579,2890,7166,235,12
Belarus,9590,817,67,1573,7950,92,4
Qatar,9358,833,10,929,8419,72,0
UAE,9281,0,64,1760,7457,1,0
Indonesia,8607,396,720,1042,6845,0,31
Denmark,8445,235,418,5669,2358,70,15
Ukraine,8125,478,201,782,7142,104,8
Serbia,7779,296,151,1152,6476,91,7
Norway,7493,30,201,32,7260,50,2
Philippines,7294,102,494,792,6008,1,17
Czechia,7273,0,215,2389,4669,71,1
Australia,6695,20,80,5372,1243,43,1
Dominican Republic,5749,0,267,763,4719,135,0
Malaysia,5742,51,98,3762,1882,36,2
Panama,5338,172,154,319,4865,87,8
Bangladesh,4998,309,140,113,4745,1,9
Colombia,4881,0,225,1003,3653,117,0
Finland,4475,80,186,2500,1789,60,9
South Africa,4220,0,79,1473,2668,36,0
Egypt,4092,0,294,1075,2723,0,0
Morocco,3889,131,159,498,3232,1,1
Luxembourg,3695,0,85,3007,603,25,0
Argentina,3607,0,179,1030,2398,144,3
Algeria,3127,0,415,1408,1304,40,0
Moldova,3110,0,89,825,2196,212,5
Thailand,2907,53,51,2547,309,61,1
Kuwait,2892,278,19,656,2217,58,4
Bahrain,2588,70,8,1160,1420,2,0
Kazakhstan,2564,148,25,629,1910,31,0
Greece,2490,0,130,577,1783,48,0
Hungary,2443,60,262,458,1723,61,12
Croatia,2016,7,54,1034,928,21,3
Oman,1905,115,10,329,1566,3,0
Uzbekistan,1836,32,8,707,1121,8,0
Iceland,1790,1,10,1570,210,4,0
Iraq,1708,0,86,1204,418,0,0
Armenia,1677,81,28,803,846,10,1
Estonia,1635,30,46,228,1361,6,0
Azerbaijan,1617,25,21,1080,516,15,0
Cameroon,1518,88,53,697,768,28,10
Bosnia and Herzegovina,1486,65,57,592,837,4,2
Afghanistan,1463,112,47,188,1228,7,4
New Zealand,1461,5,18,1118,325,1,1
Lithuania,1426,16,41,460,925,17,1
Slovenia,1388,15,81,219,1088,23,1
Slovakia,1373,13,17,386,970,7,0
North Macedonia,1367,41,59,374,934,14,2
Cuba,1285,0,49,416,820,11,0
Ghana,1279,0,10,134,1135,4,0
Bulgaria,1247,59,55,197,995,37,1
Nigeria,1095,0,32,208,855,2,0
Ivory Coast,1077,0,14,419,644,0,0
Hong Kong,1038,2,4,753,281,4,0
Djibouti,1008,9,2,373,633,0,0
Guinea,954,0,6,191,757,0,0
Tunisia,922,0,38,194,690,20,0
Bolivia,807,104,44,54,709,3,1
Cyprus,804,0,14,98,692,15,0
Latvia,804,20,12,267,525,6,0
Andorra,731,0,40,344,347,17,0
Albania,712,34,27,403,282,4,0
Diamond Princess,712,0,13,645,54,4,0
Lebanon,704,8,24,143,537,44,2
Costa Rica,687,0,6,216,465,7,0
Niger,681,0,24,289,368,0,0
Kyrgyzstan,665,9,8,345,312,11,0
Burkina Faso,629,0,41,425,163,0,0
Senegal,614,69,7,276,331,1,0
Honduras,591,29,55,58,478,10,8
Uruguay,563,0,12,369,182,9,0
Channel Islands,523,0,34,295,194,0,0
San Marino,513,0,40,64,409,3,0
Palestine,484,0,4,92,388,0,0
Georgia,456,12,5,139,312,6,0
Malta,448,1,4,249,195,2,1
Jordan,444,3,7,332,105,5,0
Sri Lanka,440,23,7,118,315,2,0
Guatemala,430,46,11,30,389,5,0
Taiwan,429,1,6,275,148,0,0
DRC,416,22,28,49,339,0,3
Réunion,412,0,0,300,112,2,0
Somalia,390,62,18,8,364,2,2
Mayotte,354,0,4,144,206,4,0
Kenya,343,7,14,98,231,2,0
Mauritius,331,0,9,285,37,3,0
Mali,325,0,21,87,217,0,0
Montenegro,319,0,6,123,190,7,0
Venezuela,318,0,10,132,176,4,0
Isle of Man,308,0,18,243,47,22,0
Tanzania,299,0,10,48,241,7,0
Jamaica,288,31,7,28,253,0,0
El Salvador,274,13,8,75,191,2,0
Vietnam,270,0,0,225,45,8,0
Paraguay,223,3,9,78,136,1,0
Equatorial Guinea,214,0,1,7,206,0,0
Congo,200,0,6,19,175,0,0
Faeroe Islands,187,0,0,178,9,0,0
Rwanda,176,0,0,87,89,0,0
Sudan,174,0,16,14,144,0,0
Gabon,172,0,3,26,143,1,0
Martinique,170,0,14,77,79,6,0
Guadeloupe,149,0,12,82,55,11,0
Myanmar,144,0,5,9,130,0,0
Brunei,138,0,1,121,16,2,0
Maldives,137,8,0,16,121,2,0
Gibraltar,133,0,0,131,2,0,0
Madagascar,123,1,0,62,61,1,0
Ethiopia,122,5,3,29,90,0,0
Cambodia,122,0,0,117,5,1,0
Liberia,120,3,11,25,84,0,3
Trinidad and Tobago,115,0,8,48,59,0,0
French Guiana,111,0,1,87,23,0,0
Aruba,100,0,2,69,29,4,0
Bermuda,99,0,5,39,55,10,0
Togo,96,6,6,62,28,0,0
Monaco,94,0,4,41,49,2,0
Cabo Verde,90,2,1,1,88,0,0
Zambia,84,0,3,37,44,1,0
Sierra Leone,82,0,2,10,70,0,0
Liechtenstein,81,0,1,55,25,0,0
Barbados,77,0,6,31,40,4,0
Uganda,75,0,0,46,29,0,0
Sint Maarten,73,0,12,22,39,8,0
Bahamas,73,0,11,15,47,1,0
Guyana,73,0,7,12,54,5,0
Haiti,72,0,6,6,60,0,1
Cayman Islands,70,0,1,8,61,3,0
Mozambique,70,5,0,12,58,0,0
Libya,61,0,2,18,41,0,0
French Polynesia,57,0,0,41,16,1,0
Benin,54,0,1,27,26,0,0
Guinea-Bissau,52,0,0,3,49,0,0
Nepal,49,0,0,12,37,0,0
Macao,45,0,0,27,18,1,0
Syria,42,0,3,6,33,0,0
Eswatini,40,4,1,10,29,0,0
Chad,40,0,0,8,32,0,0
Eritrea,39,0,0,11,28,0,0
Saint Martin,38,0,3,24,11,3,0
Mongolia,37,1,0,9,28,0,0
Malawi,33,0,3,4,26,1,0
Zimbabwe,29,0,4,2,23,0,0
Angola,25,0,2,6,17,0,0
Antigua and Barbuda,24,0,3,11,10,1,0
Timor-Leste,24,0,0,2,22,0,0
Botswana,22,0,1,0,21,0,0
Laos,19,0,0,7,12,0,0
Belize,18,0,2,5,11,1,0
Fiji,18,0,0,10,8,0,0
New Caledonia,18,0,0,17,1,1,0
Curaçao,16,0,1,11,4,0,0
CAR,16,0,0,10,6,0,0
Dominica,16,0,0,10,6,0,0
Namibia,16,0,0,7,9,0,0
Grenada,15,0,0,7,8,4,0
Saint Kitts and Nevis,15,0,0,2,13,0,0
Saint Lucia,15,0,0,15,0,0,0
St. Vincent Grenadines,14,0,0,5,9,0,0
Falkland Islands,13,1,0,11,2,0,0
Nicaragua,11,0,3,7,1,0,0
Burundi,11,0,1,4,6,0,0
Montserrat,11,0,1,2,8,1,1
Turks and Caicos,11,0,1,4,6,0,0
Greenland,11,0,0,11,0,0,0
Seychelles,11,0,0,6,5,0,0
Gambia,10,0,1,8,1,0,0
Suriname,10,0,1,7,2,0,0
MS Zaandam,9,0,2,0,7,0,0
Vatican City,9,0,0,2,7,0,0
Papua New Guinea,8,0,0,0,8,0,0
Mauritania,7,0,1,6,0,0,0
Bhutan,7,0,0,3,4,0,0
St. Barth,6,0,0,6,0,0,0
Western Sahara,6,0,0,5,1,0,0
British Virgin Islands,5,0,1,3,1,0,0
Caribbean Netherlands,5,0,0,0,5,0,0
South Sudan,5,0,0,0,5,0,0
Sao Tome and Principe,4,0,0,0,4,0,0
Anguilla,3,0,0,1,2,0,0
Saint Pierre Miquelon,1,0,0,0,1,0,0
Yemen,1,0,0,1,0,0,0
China,82816,12,4632,77346,838,49,0
